Parish_id;Dialect_et;Village;lon;lat
Avi;Ida;Kärasi;26.93;58.95
Avi;Ida;Maetsma;26.89;58.99
Avi;Ida;Kütametsa;26.85472;58.93194
Kod;Ida;Sääritsa;27.07;58.74
Kod;Ida;Assikvere;26.96;58.72
Kod;Ida;Pala;27.01;58.67
Kod;Ida;Ranna;27.09667;58.72694
Kod;Ida;Raatvere;27.05;58.74
Pal;Ida;Aruküla;26.50278;58.66417
Pal;Ida;Süvalõpe;26.63;58.69
Trm;Ida;Tõreda;26.72556;58.84556
Trm;Ida;Tammispää;27;58.92
Trm;Ida;Tuulavere;26.72;58.75
Trm;Ida;Mustvee;26.94;58.84
Äks;Kesk;Lammiku;26.6;58.47
Amb;Kesk;Kukevere;25.73;59.20
Amb;Kesk;Kõrveküla;25.67278;59.21944
Amb;Kesk;Prümli;25.83;59.15
HMd;Kesk;Laoküla;24.12;59.32
HMd;Kesk;Karilepa;24.14;59.25
HMd;Kesk;Madise küla;24.12778;59.28833
HMd;Kesk;Väemla;24.16;59.25
Juu;Kesk;Juuru;24.99;59.04
Juu;Kesk;Toomja;25.08;59.02
Juu;Kesk;Salutaguse;25.05333;58.99139
Kei;Kesk;Vaila;24.4025;59.39389
Kei;Kesk;Ohtu;24.37;59.27
Kei;Kesk;Sassi;24.33222;59.30444
Kei;Kesk;Tuula;24.44;59.27
Kos;Kesk;Kolu;25.05639;59.18278
Kos;Kesk;Viskla;25.19;59.21
Kos;Kesk;Krei;25.12;59.19
Pee;Kesk;Öötla;25.73;58.94
Pee;Kesk;Silmsi;25.87;58.87
Pee;Kesk;Mäeküla;25.705;58.87417
Pil;Kesk;Kõo;25.72111;58.62917
Pil;Kesk;Kurla;25.68944;58.67611
Pil;Kesk;Käsukonna;25.75;58.79
Pil;Kesk;Järavere;25.76;58.74
Plt;Kesk;Umbusi;26.08194;58.58139
Plt;Kesk;Arisvere;26.02972;58.7825
Plt;Kesk;Kõrkküla;26.00278;58.79389
Plt;Kesk;Leisu;26.16556;58.64694
Plt;Kesk;Kamari;26.00;58.59
SJn;Kesk;Vanamõisa;25.47694;58.44944
